feature_set,model,fold,n_train,n_test,n_train_references,n_test_references,inner_best_r2,r2,rmse,mae
matminer,RandomForest,9,129,12,38,4,0.5076621601723448,0.9037320888188599,44.92491588260917,36.36729843600697
matminer,RandomForest,10,129,12,38,4,0.5478061715168265,0.4754518213169805,78.89933239315917,69.32528964230217
matminer,GradientBoosting,1,126,15,37,5,0.5115000815835457,0.4197432538156125,79.06499577165033,59.27538603138383
matminer,GradientBoosting,2,127,14,36,6,0.4185998363445934,0.5556248729036686,104.05862553636793,75.65175793101825
matminer,GradientBoosting,3,122,19,40,2,0.4205011450875107,0.6788297016307703,100.7594716889591,63.298879666343794
matminer,GradientBoosting,4,127,14,38,4,0.6346921192687257,0.32984428603753435,78.92060012222582,62.688582055328524
matminer,GradientBoosting,5,127,14,38,4,0.46891732893214916,0.9192216290356667,31.625356440339647,19.9348172343957
matminer,GradientBoosting,6,127,14,37,5,0.5686040479946353,0.012858863439900392,128.3025323473089,72.86990301039641
matminer,GradientBoosting,7,127,14,38,4,0.6753229945043989,0.1052066706349547,224.62487996606777,136.66924046082966
matminer,GradientBoosting,8,128,13,38,4,0.5470153291867351,0.907607545180183,41.689660785037084,27.37229203391594
matminer,GradientBoosting,9,129,12,38,4,0.5473895749073752,0.9082269386201596,43.86358337801772,33.219459988663694
matminer,GradientBoosting,10,129,12,38,4,0.5095042128293856,0.5244520067066287,75.12384594615776,63.44569998063587
matminer,SVR,1,126,15,37,5,0.5871728089132084,-0.6781406777438461,134.45852266602608,103.24448502288881
matminer,SVR,2,127,14,36,6,0.5511078996877299,0.7596102029226045,76.53520141971018,57.39984722014263
matminer,SVR,3,122,19,40,2,0.4880629830454658,0.3547046125622789,142.82277746120783,95.26164968775
matminer,SVR,4,127,14,38,4,0.5802770335886203,0.583373423668813,62.226589869832694,49.76963483198319
matminer,SVR,5,127,14,38,4,0.5536228978826856,0.8741747104931378,39.470429558720205,25.559965211026615
matminer,SVR,6,127,14,37,5,0.5800805585879466,0.8425690991735125,51.23781406053375,38.18937367566745
matminer,SVR,7,127,14,38,4,0.7473056717538494,-0.009338550685770386,238.56949961364828,153.343492664797
matminer,SVR,8,128,13,38,4,0.5899044107490569,0.7479063673403401,68.86380991738075,40.89991215926081
matminer,SVR,9,129,12,38,4,0.5276549844183653,0.8713697122656322,51.9299756392634,42.78777341682124
matminer,SVR,10,129,12,38,4,0.5671389857421363,0.24763683320354124,94.49186038972185,85.77615594276055
matminer,XGBoost,1,126,15,37,5,0.556289398057763,0.6113674012794703,64.70588271290252,56.75160573323568
matminer,XGBoost,2,127,14,36,6,0.49880709271744356,0.5275744153461821,107.29263682714266,74.52474321637835
matminer,XGBoost,3,122,19,40,2,0.36622038133384105,0.3907576776620041,138.77563606972956,96.79911916632402
matminer,XGBoost,4,127,14,38,4,0.6315729937948735,0.32665986523259727,79.10788387881477,62.88313985552107
matminer,XGBoost,5,127,14,38,4,0.5124918893167995,0.8878311109837275,37.26697078403985,30.662081582205637
matminer,XGBoost,6,127,14,37,5,0.5328821618675668,0.528108165992001,88.7088264883886,54.25340363638741
matminer,XGBoost,7,127,14,38,4,0.7030736064119677,0.17286985790655052,215.96501953011904,129.96076338631767
matminer,XGBoost,8,128,13,38,4,0.6023461441478816,0.6908809757537708,76.2558164378404,56.031710404616135
matminer,XGBoost,9,129,12,38,4,0.5617373394236242,0.9227939605954792,40.232047501042125,36.00198805332184
matminer,XGBoost,10,129,12,38,4,0.5110859001447143,0.6259581610917504,66.62553792162443,53.11481030782064
matminer,LightGBM,1,126,15,37,5,0.5694303678281273,0.6304827800991364,63.09449864616634,55.55897888993568
matminer,LightGBM,2,127,14,36,6,0.5162172506281801,0.6369764358745111,94.0525602563576,67.84649415289891
matminer,LightGBM,3,122,19,40,2,0.316320681584604,0.30043700182825317,148.70706745423897,113.68233607890498
matminer,LightGBM,4,127,14,38,4,0.6592391639334697,0.35613243067522116,77.35720895228573,68.18692140891953
matminer,LightGBM,5,127,14,38,4,0.6004624185332375,0.864066916189238,41.0251774732168,30.36672834158671
matminer,LightGBM,6,127,14,37,5,0.5467416539969757,0.019610711421271354,127.86299764267108,72.95086274944086
matminer,LightGBM,7,127,14,38,4,0.6746419009910692,0.17930129475772572,215.12375170893634,141.55314259091296
matminer,LightGBM,8,128,13,38,4,0.6200132804753754,0.8083110499439814,60.04939657487366,53.873036650271324
matminer,LightGBM,9,129,12,38,4,0.5723548255278067,0.7781989663176634,68.19119186116166,60.47509725881249
matminer,LightGBM,10,129,12,38,4,0.5462357304587255,0.6016503942062068,68.75635299586138,59.31715658397503
combined,DummyMean,1,126,15,37,5,,-0.13136125452123903,110.4014566600145,96.58412698412698
combined,DummyMean,2,127,14,36,6,,-0.010667539304584306,156.93050513094192,116.6209223847019
combined,DummyMean,3,122,19,40,2,,-0.011936870691040102,178.85245430413866,140.30207075064712
combined,DummyMean,4,127,14,38,4,,-0.0019371258650850987,96.49898630595706,82.69190101237346
combined,DummyMean,5,127,14,38,4,,-0.000925877865647351,111.32401022016353,100.7142857142857
combined,DummyMean,6,127,14,37,5,,-0.07997116281031569,134.19974254644913,122.793025871766
combined,DummyMean,7,127,14,38,4,,-0.03952398651768374,242.1105680113294,178.71428571428572
combined,DummyMean,8,128,13,38,4,,-0.008096640393017607,137.70864087498146,125.42788461538461
