TC,H,dS,dS_ref,RC,dX,VEC,δ,dHmix,dSmix,nunfilled_mean,mag_moment_mean,avg_d_valence_electrons,bandgap_mean,melting_point_mean,electronegativity_range
219,2,4.1,9.463344238776946,131.2,0.2778189894811103,6.8366,18.17931030961151,-8.123579600000001,6.337492845127867,4.385716614283385,1.628224864916335,4.771428228571772,0.1104283505716494,1754.414200585799,0.7999999999999998
285,2,2.6,6.001145127029283,140.4,0.2800738738434044,6.9719,18.13641543376212,-9.8888312,8.176613146402376,4.250003,1.5841829155134,4.892855,0.110428461,1744.642646,0.8099999999999998
247,2,2.4,5.539518578796261,141.6,0.2788617762248085,6.882099999999999,18.16417250687085,-8.976287000000001,7.840444272976105,4.339288,1.5835900077567,4.821427000000001,0.110428461,1753.481861,0.8099999999999998
412,0.5,0.77,6.30004792085831,0,0.1835340567851099,6.930000000000001,4.503606113067868,-31.0026,12.09060290108072,3.799837799837801,0.1842801152868532,6.091420091420091,0.1936957826957827,1600.694884894885,0.4599999999999997
412,1,1.44,6.257767836154837,0,0.1835340567851099,6.930000000000001,4.503606113067868,-31.0026,12.09060290108072,3.799837799837801,0.1842801152868532,6.091420091420091,0.1936957826957827,1600.694884894885,0.4599999999999997
412,1.5,2,6.002628884478198,0,0.1835340567851099,6.930000000000001,4.503606113067868,-31.0026,12.09060290108072,3.799837799837801,0.1842801152868532,6.091420091420091,0.1936957826957827,1600.694884894885,0.4599999999999997
412,2,2.49,5.747250525501122,73.6,0.1835340567851099,6.930000000000001,4.503606113067868,-31.0026,12.09060290108072,3.799837799837801,0.1842801152868532,6.091420091420091,0.1936957826957827,1600.694884894885,0.4599999999999997
560,1.5,0.8,2.4010515537912798,135.4,0.1174904251417961,7.85,11.64995830295754,-21.53,3.719127899711529,3.780720780720781,0.714187628016928,3.588946588946589,0.7446320296320297,1817.721643821644,0.3599999999999999
560,2,0.98,2.261970086341807,169.9,0.1174904251417961,7.85,11.64995830295754,-21.53,3.719127899711529,3.780720780720781,0.714187628016928,3.588946588946589,0.7446320296320297,1817.721643821644,0.3599999999999999
560,5,1.88,1.88,310.2,0.1174904251417961,7.85,11.64995830295754,-21.53,3.719127899711529,3.780720780720781,0.714187628016928,3.588946588946589,0.7446320296320297,1817.721643821644,0.3599999999999999
163,5,5.4,5.4,453,0.0525102764171747,3.0003,1.014502525706703,0,13.19504684341568,7,0,0.4,0,1706.2,0.04000000000000004
163,4,3.88,4.756596742101888,0,0.0525102764171747,3.0003,1.014502525706703,0,13.19504684341568,7,0,0.4,0,1706.2,0.04000000000000004
163,3,2.34,3.730191965994667,0,0.0525102764171747,3.0003,1.014502525706703,0,13.19504684341568,7,0,0.4,0,1706.2,0.04000000000000004
163,2,1.11,2.562027342693271,0,0.0525102764171747,3.0003,1.014502525706703,0,13.19504684341568,7,0,0.4,0,1706.2,0.04000000000000004
322,2,1.59,3.6699310584525233,75.68,0.1307157083138824,7.114000000000001,5.761551295427342,-20.671728,12.96788157551366,3.831619,0.6693365489258587,5.524554000000001,0.158308081,1533.84621781,0.3599999999999999
334,2,0.65,1.5002862817573208,29.04,0.1307157083138824,7.114000000000001,5.761551295427342,-20.671728,12.96788157551366,3.831619,0.6693365489258587,5.524554000000001,0.158308081,1533.84621781,0.3599999999999999
340,0.82,0.458,2.3856005545545496,0,0.139095927058584,7.24198,4.920542602925307,-5.822618664,11.83891129597152,4.506803,0.7848556503069966,4.829931,0,1605.3491522,0.3599999999999999
137,2.5,7.3,13.744186296497316,0,0.1584459433844867,6.889000000000001,4.946073844702334,-31.8031095,13.30215053015936,3.825049174950824,0.5311872848223219,4.857390142609857,0.2725212534787465,1630.895253904746,0.4599999999999997
137,2,5.3,12.233103528175077,0,0.1584459433844867,6.889000000000001,4.946073844702334,-31.8031095,13.30215053015936,3.825049174950824,0.5311872848223219,4.857390142609857,0.2725212534787465,1630.895253904746,0.4599999999999997
137,1.5,3.5,10.504600547836846,0,0.1584459433844867,6.889000000000001,4.946073844702334,-31.8031095,13.30215053015936,3.825049174950824,0.5311872848223219,4.857390142609857,0.2725212534787465,1630.895253904746,0.4599999999999997
137,1,1.68,7.300729142180644,0,0.1584459433844867,6.889000000000001,4.946073844702334,-31.8031095,13.30215053015936,3.825049174950824,0.5311872848223219,4.857390142609857,0.2725212534787465,1630.895253904746,0.4599999999999997
137,0.75,0.75,4.238077893339258,0,0.1584459433844867,6.889000000000001,4.946073844702334,-31.8031095,13.30215053015936,3.825049174950824,0.5311872848223219,4.857390142609857,0.2725212534787465,1630.895253904746,0.4599999999999997
321,0.62,0.38,2.5547972901997515,41.4,0.1522059279830029,7.6331,4.620347966253653,-7.411913679999999,13.43420055475163,4.233575766424233,0.6069401279409893,5.328468671531329,0,1636.861755968244,0.3599999999999999
94,5,8.5,8.5,0,0.2994629106650772,4.238,14.43090649019446,-34.09173504,11.61151768204055,6.137185862814136,0.3519176985827014,1.693811306188694,0,1268.10816934183,0.6799999999999999
33.6,5,8.7,8.7,0,0.2811132156267293,4.760000000000001,12.82624438665033,-28.496,13.3483578700181,4.372257000000001,0,2.592483,0,1248.65710964,0.7
81,5,8.9,8.9,0,0.2980883090629352,4.2,14.29735556710392,-34.63039999999999,11.25847770166381,6.161592000000001,0.331829635804,1.644627,0,1261.90763519,0.6799999999999999
97,5,5.9,5.9,0,0.274510181960524,3.95,14.02181594832556,-25.0116,13.3186158747471,5.412445000000001,0.444706098646,1.338995,0,1274.43223706,0.6300000000000001
100,5,8,8.0,0,0.3007738104556312,4.276,14.56088203430957,-33.55695616000001,11.84845435499486,6.112830999999999,0.3719539846111999,1.742871,0,1274.29293276,0.6799999999999999
36,2,0.38,0.8770904416427414,0,0.0995079011938248,8.169,0.2985076954317955,-3.901308,11.51054596547175,3.907675,1.0026526980384,6.390969999999999,0,1892.237112,0.25
48,2,0.37,0.8540091142310903,0,0.0986471428070777,8.1951,0.2996903546099921,-3.85488828,11.51903511551773,3.88050611949388,1.015672818403882,6.409031590968408,0,1888.500453499546,0.25
171,2,0.35,0.8078464594077881,0,0.0944310477756124,8.3076,0.3045719605862321,-3.62939328,11.5180249465911,3.852345,1.0291677185861,6.427753000000001,0,1884.627382,0.25
65,2,0.36,0.8309277868194391,0,0.0977116356633128,8.222100000000001,0.3008936813488584,-3.80453148,11.52444232500748,3.75,1.063632175,6.5,0,1871.75,0.25
100,2,0.35,0.8078464594077881,0,0.0946339533994009,8.3208,0.3025107344440896,-3.64845056,11.51595984585561,3.794914,1.0566887525543,6.465933,0,1876.72877,0.25
131,2,0.35,0.8078464594077881,0,0.0956624983993205,8.277000000000001,0.3032783540709192,-3.694812,11.52453385799659,3.762806,1.0720760992927,6.487278,0,1872.312793,0.25
