feature,mean_abs_shap,rank,repeat,outer_fold
dX,0.43542973598093426,7,5,2
nunfilled_mean,0.32967885117905527,8,5,2
VEC,0.3110843916272879,9,5,2
sigma,0.17187241573251016,10,5,2
bandgap_mean,0.020233068702508045,11,5,2
avg_d_valence_electrons,2.1434122824367834,1,5,3
melting_point_mean,0.8092669410634219,2,5,3
mag_moment_mean,0.7325854867039573,3,5,3
dSmix,0.6432430841498982,4,5,3
dHmix,0.5589177638872584,5,5,3
sigma,0.4803395062333981,6,5,3
nunfilled_mean,0.4640314405141888,7,5,3
electronegativity_range,0.3043457869912924,8,5,3
dX,0.29698814587037703,9,5,3
VEC,0.1995135716358546,10,5,3
bandgap_mean,0.018310549755878917,11,5,3
mag_moment_mean,1.7005200726576841,1,5,4
avg_d_valence_electrons,1.1249371955438152,2,5,4
melting_point_mean,1.0036706551539374,3,5,4
dHmix,0.5753973052153669,4,5,4
electronegativity_range,0.5449264580236122,5,5,4
VEC,0.37320846354376264,6,5,4
dX,0.2815852525446653,7,5,4
nunfilled_mean,0.2759445553667269,8,5,4
dSmix,0.25608096100904376,9,5,4
sigma,0.1126513908590069,10,5,4
bandgap_mean,0.025580900337844173,11,5,4
mag_moment_mean,1.623459712180845,1,5,5
avg_d_valence_electrons,1.4415488617368073,2,5,5
melting_point_mean,0.7986172443959029,3,5,5
dSmix,0.6349985966108701,4,5,5
nunfilled_mean,0.5308894916794991,5,5,5
dHmix,0.5039226064975644,6,5,5
dX,0.40627678230702313,7,5,5
VEC,0.3341090411248541,8,5,5
sigma,0.18629383537150868,9,5,5
bandgap_mean,0.08145258971538799,10,5,5
electronegativity_range,0.02067142883683885,11,5,5
mag_moment_mean,1.3750937490393658,1,5,6
avg_d_valence_electrons,1.2874811235092487,2,5,6
melting_point_mean,1.1133191050263174,3,5,6
dSmix,0.7192215770709064,4,5,6
electronegativity_range,0.6409996104826546,5,5,6
sigma,0.3286599537816354,6,5,6
dX,0.3039009763706768,7,5,6
nunfilled_mean,0.24325813169415073,8,5,6
dHmix,0.2276456645155929,9,5,6
VEC,0.20828175439985136,10,5,6
bandgap_mean,0.030559208771332926,11,5,6
mag_moment_mean,1.6310967481957155,1,5,7
avg_d_valence_electrons,1.4919645956646694,2,5,7
melting_point_mean,0.7575344111969343,3,5,7
electronegativity_range,0.7093656788625134,4,5,7
dSmix,0.649768438559503,5,5,7
dX,0.3448636079522454,6,5,7
nunfilled_mean,0.26283091921961216,7,5,7
dHmix,0.22719242379672303,8,5,7
VEC,0.22247265016790427,9,5,7
sigma,0.22077229813307925,10,5,7
bandgap_mean,0.019934714818561967,11,5,7
mag_moment_mean,2.035789779834545,1,5,8
