repeat,outer_fold,rule,n,positives,TP,TN,FP,FN,precision,recall,specificity,balanced_accuracy,F1,MCC,base_rate,enrichment
5,2,v2_nested,17,8,0,9,0,8,0.0,0.0,1.0,0.5,0.0,0.0,0.47058823529411764,0.0
5,2,v2_nested_legacy_f1,17,8,6,9,0,2,1.0,0.75,1.0,0.875,0.8571428571428571,0.7833494518006403,0.47058823529411764,2.125
5,2,v1_rederived,17,8,0,9,0,8,0.0,0.0,1.0,0.5,0.0,0.0,0.47058823529411764,0.0
5,3,v2_nested,12,2,2,10,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,6.0
5,3,v2_nested_legacy_f1,12,2,2,10,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,6.0
5,3,v1_rederived,12,2,2,10,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,6.0
5,4,v2_nested,12,2,1,9,1,1,0.5,0.5,0.9,0.7,0.5,0.4,0.16666666666666666,3.0
5,4,v2_nested_legacy_f1,12,2,1,9,1,1,0.5,0.5,0.9,0.7,0.5,0.4,0.16666666666666666,3.0
5,4,v1_rederived,12,2,1,10,0,1,1.0,0.5,1.0,0.75,0.6666666666666666,0.674199862463242,0.16666666666666666,6.0
5,5,v2_nested,12,2,2,5,5,0,0.2857142857142857,1.0,0.5,0.75,0.4444444444444445,0.37796447300922725,0.16666666666666666,1.7142857142857142
5,5,v2_nested_legacy_f1,12,2,0,9,1,2,0.0,0.0,0.9,0.45,0.0,-0.13483997249264842,0.16666666666666666,0.0
5,5,v1_rederived,12,2,2,9,1,0,0.6666666666666666,1.0,0.9,0.95,0.8,0.7745966692414834,0.16666666666666666,4.0
5,6,v2_nested,15,5,5,7,3,0,0.625,1.0,0.7,0.85,0.7692307692307693,0.6614378277661477,0.3333333333333333,1.875
5,6,v2_nested_legacy_f1,15,5,5,7,3,0,0.625,1.0,0.7,0.85,0.7692307692307693,0.6614378277661477,0.3333333333333333,1.875
5,6,v1_rederived,15,5,1,7,3,4,0.25,0.2,0.7,0.44999999999999996,0.22222222222222224,-0.10660035817780521,0.3333333333333333,0.75
5,7,v2_nested,15,6,0,8,1,6,0.0,0.0,0.8888888888888888,0.4444444444444444,0.0,-0.21821789023599236,0.4,0.0
5,7,v2_nested_legacy_f1,15,6,0,8,1,6,0.0,0.0,0.8888888888888888,0.4444444444444444,0.0,-0.21821789023599236,0.4,0.0
5,7,v1_rederived,15,6,0,4,5,6,0.0,0.0,0.4444444444444444,0.2222222222222222,0.0,-0.5773502691896257,0.4,0.0
5,8,v2_nested,13,3,1,7,3,2,0.25,0.3333333333333333,0.7,0.5166666666666666,0.28571428571428575,0.03042903097250923,0.23076923076923078,1.0833333333333333
5,8,v2_nested_legacy_f1,13,3,1,7,3,2,0.25,0.3333333333333333,0.7,0.5166666666666666,0.28571428571428575,0.03042903097250923,0.23076923076923078,1.0833333333333333
5,8,v1_rederived,13,3,2,7,3,1,0.4,0.6666666666666666,0.7,0.6833333333333333,0.5,0.31754264805429416,0.23076923076923078,1.7333333333333334
5,9,v2_nested,14,2,0,12,0,2,0.0,0.0,1.0,0.5,0.0,0.0,0.14285714285714285,0.0
5,9,v2_nested_legacy_f1,14,2,0,12,0,2,0.0,0.0,1.0,0.5,0.0,0.0,0.14285714285714285,0.0
5,9,v1_rederived,14,2,0,12,0,2,0.0,0.0,1.0,0.5,0.0,0.0,0.14285714285714285,0.0
5,10,v2_nested,12,3,3,9,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,4.0
5,10,v2_nested_legacy_f1,12,3,3,9,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,4.0
5,10,v1_rederived,12,3,3,9,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,4.0
6,1,v2_nested,19,1,0,15,3,1,0.0,0.0,0.8333333333333334,0.4166666666666667,0.0,-0.10206207261596575,0.05263157894736842,0.0
6,1,v2_nested_legacy_f1,19,1,0,15,3,1,0.0,0.0,0.8333333333333334,0.4166666666666667,0.0,-0.10206207261596575,0.05263157894736842,0.0
6,1,v1_rederived,19,1,0,16,2,1,0.0,0.0,0.8888888888888888,0.4444444444444444,0.0,-0.08084520834544433,0.05263157894736842,0.0
6,2,v2_nested,17,8,5,9,0,3,1.0,0.625,1.0,0.8125,0.7692307692307693,0.6846531968814576,0.47058823529411764,2.125
6,2,v2_nested_legacy_f1,17,8,5,9,0,3,1.0,0.625,1.0,0.8125,0.7692307692307693,0.6846531968814576,0.47058823529411764,2.125
6,2,v1_rederived,17,8,0,9,0,8,0.0,0.0,1.0,0.5,0.0,0.0,0.47058823529411764,0.0
6,3,v2_nested,12,2,2,10,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,6.0
